title,typeOfResource,genre,placeTerm,publisher,dateIssued,languageTerm,form(marccategory),form(marcsmd),extent
"          Maps of Lancaster County and Lancaster, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1984 1984,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 87 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Lancaster County and Lancaster, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1984 1984,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 87 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Lancaster County and Lancaster, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1986 1986,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 57 x 86 cm. and 70 x 57 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Lancaster County and Lancaster, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1987 1987,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 57 x 87 cm. and 70 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Lancaster County and Lancaster, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1988 1988,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 57 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Lancaster County and Lancaster, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,Mass Marketing-Merchant Maps Division,c1989 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 57 x 69 cm. and 55 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Blair County and Altoona, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps Division of Mass Marketing Inc.,c1980 1980,          eng       ,map,map,"2 maps on 1 sheet : both sides ; each 56 x 87 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Blair County & Altoona urban area, Pennsylvania          happy to help you find your way around                  Maps of Blair County and Altoona urban area, Pennsylvania       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps Division of Mass Marketing Inc.,c1981 1981,          eng       ,map,map,"2 maps on 1 sheet : both sides ; each 56 x 87 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Pennsylvania roadmap          including vicinity maps of Allentown, Altoona, Bethlehem, Easton ... featuring downtown maps of Philadelphia & Pittsburgh, Pennsylvania mileage chart                  Pennsylvania road map                  Pennsylvania       ",                   cartographic                ,map,"Williamston, MI",Universal Map,[1998?] 1998,          eng       ,map,map,"1 map : col. ; 56 x 88 cm., folded to 23 x 10 cm."
          Street map of Washington DC                  Street map of Washington D.C       ,                   cartographic                ,map,"Alexandria, Va.?]",Reynolds Map Inc.,c1999 1999,          eng       ,map,map,"1 map : col. ; 68 x 42 cm., folded to 22 x 10 cm."
"          Maps of Jersey City, Hoboken, Union City, Weehawken, and Bayonne, New Jersey          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1988 1988,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 76 x 55 cm. and 44 x 67 cm., sheet 89 x 59 cm., folded to 10 x 23 cm."
"          Maps of Summit, Springfield, New Providence, Mountainside, Short Hills, Chatham Boro & Chatham Township, New Jersey          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1984 1984,          eng       ,map,map,"1 map : both sides ; 71 x 92 cm., on sheet 89 x 59 cm., folded to 23 x 10 cm."
"          Maps of Summit, Springfield, New Providence, Mountainside, Short Hills, Chatham Boro & Chatham Township, New Jersey          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1985 1985,          eng       ,map,map,"1 map : both sides ; 71 x 92 cm., on sheet 89 x 59 cm., folded to 23 x 10 cm."
          Jordartskort over Danmark          1:200.000                  Map of the Quaternary deposits in Denmark       ,                   cartographic                ,map,Copenhagen?],"Danmarks geologiske undersøgelse, Miljøministeriet",c1989 1989,          dan                  eng                  ger       ,map,map,4 maps : col. ; 60 x 96 cm. and 96 x 60 cm.
"          Maps of Summit, Springfield, New Providence, Mountainside, Short Hills, Chatham Boro & Chatham Township, New Jersey          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1986 1986,          eng       ,map,map,"1 map : both sides ; 87 x 105 cm., on sheet 89 x 59 cm., folded to 23 x 10 cm."
"          Maps of Berks County and Reading, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1980 1980,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 87 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Berks County with Reading, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1981 1981,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 87 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
          Europe       ,                   cartographic                ,map government publication,"Washington, D.C",Central Intelligence Agency,1999] 1999,          eng       ,map,map,1 map : col. ; 23 x 18 cm.
"          Maps of Bucks County with the boroughs of Quakertown, Perkasie, and Doylestown, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps Division of Mass Marketing Inc.,c1981 1981,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 88 x 57 cm. or smaller, sheet 89 x 59 cm., folded to 10 x 23 cm."
          Commonwealth of Independent States       ,                   cartographic                ,map government publication,"Washington, D.C",Central Intelligence Agency,1999] 1999,          eng       ,electronic resource map,remote map,1 map : col. ; 18 x 23 cm.
          Kosovo       ,                   cartographic                ,map government publication,"Washington, D.C",Central Intelligence Agency,1999] 1999,          eng       ,map,map,1 map : col. ; 20 x 17 cm.
          Central Balkan region       ,                   cartographic                ,map government publication,"Washington, D.C",Central Intelligence Agency,1999] 1999,          eng       ,electronic resource map,remote map,1 map : col. ; 22 x 18 cm.
"          Maps of Summit, Springfield, New Providence, Mountainside, Short Hills, Chatham Boro & Chatham Township, New Jersey          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1987 1987,          eng       ,map,map,"1 map : both sides ; 87 x 105 cm., on sheet 89 x 59 cm., folded to 23 x 10 cm."
"          Maps of Summit, Springfield, New Providence, Mountainside, Short Hills, Chatham Boro & Chatham Township, New Jersey          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1988 1988,          eng       ,map,map,"1 map : both sides ; 79 x 92 cm., on sheet 89 x 59 cm., folded to 23 x 10 cm."
          Hayastane? Tigran 2 metsi o?rok? (m.t?.a. 95-56 t?t?.)          Tigran 2-e? ev Hr?ome? (m.t?.a. 70-56 t?t?.)                  Armenia in the reign of Tigran II the Great (95-56 B.C.)          Tigran II and Rome (70-56 B.C.)                  Hayastani patmut?yune? k?arteznerum          mas 2. Tigran 2-e? ev Hr?ome? m.t?.a. 70-56 t?t?          Hayastane? Tigran 2 metsi o?rok? (m.t?.a. 95-56 t?t?.)       ,                   cartographic                ,map,Yerevan,"""Jarangutune"" Scientific Council of ""Areal"" Association The Cultural and Economic Initiating Centre ""Shem""",1991,          arm                  eng       ,map,map,"1 map : col. ; 63 x 85 cm., folded to 33 x 22 cm."
"          I?sland, ferðakort =          Iceland, touring map : 1:500 000                  Iceland, touring map                  Ferðakort 1:500 000, I?sland       ",                   cartographic                ,map government publication,Reykjavi?k,Landmælingar I?slands,[1995] 1995,          ice                  eng       ,map,map,"1 map : col. ; 74 x 106 cm., folded in cover 22 x 12 cm."
"          A           walking tour of historic Bridgeton, New Jersey       ",                   cartographic                ,map,Bridgeton],The Association,[1998?] 1998,          eng       ,map,map,"1 map : col. ; 13 x 19 cm., on sheet 23 x 60 cm., folded to 23 x 10 cm."
"          Map & guide, Hamilton County scenic auto trails          Adirondack Trail, Route 30, Central Adirondack Trail, Route 28, Adirondack Region, I [love] NY       ",                   cartographic                ,map government publication,"Indian Lake, N.Y.?",s.n.,1999?] 1999,          eng       ,map,map,"1 map ; on sheet 22 x 28 cm., folded to 22 x 10 cm."
          Map of Erie County with cities of Erie and Corry          happy to help you find your way around       ,                   cartographic                ,map,"Springdale, Ohio",Merchant Maps Division of Mass Marketing Inc.,c1980 1980,          eng       ,map,map,"2 maps on 1 sheet : both sides ; each 56 x 87 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Erie County & Erie, Pennsylvania          happy to help you find your way around                  Maps of Erie County and Erie, Pennsylvania       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps Division of Mass Marketing Inc.,c1980 1980,          eng       ,map,map,"2 maps on 1 sheet : both sides ; each 56 x 87 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
          The           best of the Wildwoods          1999                  Welcome to our island       ,                   cartographic                ,map,"Somerset, NJ",Resort Maps of South Jersey,c1999 1999,          eng       ,map,map,"2 maps on 1 sheet : both sides, col. ; 54 x 33 cm. and 54 x 24 cm., sheet 56 x 44 cm."
"          A           new and correct chart of the North Sea          on a Mercator's projection, from the most recent authorities       ",                   cartographic                ,map,London,R. Blachford & Co.,1817,          eng       ,map,map,1 map ; 89 x 120 cm.
          Dzhibuti       ,                   cartographic                ,map government publication,Moscow?,General?nyi? shtab,1978- 1978 1991,          rus       ,map,map,< > maps : col. ; 37 x 55 cm.
          The           coast of the United States of North America from New York to St. Augustine       ,                   cartographic                ,map,New York,E. & G.W. Blunt,[1827] 1827,          eng       ,map,map,1 map ; 111 x 177 cm.
"          Geographia plan of Belfast                  Belfast streetplan          with index to streets, places of interest                  Belfast Geographia                  Belfast street plan       ",                   cartographic                ,map,London,Geographia Ltd.,[1978?] 1978,          eng       ,map,map,"1 map : col. ; 75 x 90 cm., folded in cover 21 x 14 cm."
"          Maps of Steuben County with Bath, Corning & Hornell, New York       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1983 1983,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 56 x 58 cm. or smaller, sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Erie County & Erie, Pennsylvania          happy to help you find your way around                  Maps of Erie County and Erie, Pennsylvania       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1983 1983,          eng       ,map,map,"2 maps on 1 sheet : both sides ; each 56 x 87 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
          Belfast       ,                   cartographic                ,map government publication,Belfast?],Northern Ireland Tourist Board,c1995 1995,          eng       ,map,map,1 map : col. ; 28 x 32 cm.
"          The           best of Long Beach Island, New Jersey          1999       ",                   cartographic                ,map,"Somerset, NJ",Resort Maps of South Jersey,c1999 1999,          eng       ,map,map,"3 maps on 1 sheet : both sides, col. ; 54 x 24 cm. or smaller, sheet 56 x 44 cm., folded to 28 x 22 cm."
"          Maps of Steuben County with Bath, Corning & Hornell, New York       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1984 1984,          eng       ,map,map,"2 maps on 1 sheet : both sides ; each 56 x 87 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
          Caroline County guide       ,                   cartographic                ,map,"Denton, Md.?",s.n.,1999?] 1999,          eng       ,map,map,"1 map : photocopy ; 22 x 11 cm., on sheet 28 x 22 cm."
"          Maps of Steuben County with Bath, Corning & Hornell, New York          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1985 1985,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 56 x 58 cm. or smaller, sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Amsterdam, Canajoharie & general highway map of Montgomery County, New York                  General highway map of Montgomery County       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1983 1983,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 56 x 87 cm. or smaller, on sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Amsterdam, Canajoharie & general highway map of Montgomery County, New York                  General highway map of Montgomery County       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1984 1984,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 56 x 87 cm. or smaller, on sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Baedekers Allianz Taschenbu?cher          aktuell, handlich, pra?zise, u?bersichtlich          Da?nemark, Reisekarte zum Taschenbuch                  Da?nemark, Reisekarte zum Taschenbuch       ",                   cartographic                ,map,Germany,Baedekers Autofu?hrer-Verlag,1987?] 1987,          ger                  mul       ,map,map,"1 map : col. ; 48 x 60 cm., folded to 19 x 11 cm."
"          DERRail, 1996 European rail passes          easy-to-use rail map and fare table inside       ",                   cartographic                ,map,Los Agneles,DERTravel Services Inc.,c1996 1996,          eng       ,map,map,"1 map : col. ; 42 x 46 cm., folded to 22 x 10 cm."
"          Maps of Erie County & Erie, Pennsylvania          happy to help you find your way around                  Maps of Erie County and Erie, Pennsylvania       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1984 1984,          eng       ,map,map,"2 maps on 1 sheet : both sides ; each 56 x 87 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Erie County & Erie, Pennsylvania          happy to help you find your way around                  Maps of Erie County and Erie, Pennsylvania       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1985 1985,          eng       ,map,map,"2 maps on 1 sheet : both sides ; each 56 x 87 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Erie County & Erie, Pennsylvania          happy to help you find your way around                  Maps of Erie County and Erie, Pennsylvania       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1986 1986,          eng       ,map,map,"2 maps on 1 sheet : both sides ; each 56 x 87 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Erie County & Erie, Pennsylvania          happy to help you find your way around                  Maps of Erie County and Erie, Pennsylvania       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1987 1987,          eng       ,map,map,"2 maps on 1 sheet : both sides ; each 56 x 87 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Erie County & Erie, Pennsylvania          happy to help you find your way around                  Maps of Erie County and Erie, Pennsylvania       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1988 1988,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 47 x 87 cm. and 46 x 86 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Erie County & Erie, Pennsylvania          happy to help you find your way around                  Maps of Erie County and Erie, Pennsylvania       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 45 x 74 cm. and 46 x 86 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          To the Right Hon'ble The Master, wardens, and assistants of the Corporation of Trinity House of Deptford Strond, this chart of the English Channel          is, by permission, most respectfully dedicated                  This chart of the English Channel       ",                   cartographic                ,map,London?,s.n.,1823?] 1823,          eng       ,map,map,1 map : mounted on cloth backing ; 95 x 189 cm.
          The           best of Solomons Island 1999-2000          The best of St. Mary's County 1999-2000                  Best of Solomons Island 1999-2000 ; the best of St. Mary's County 1999-2000                  Best of St. Mary's County 1999-2000       ,                   cartographic                ,map,"Great Mills, MD",Resort Maps-Stacey Thomas,[1999] 1999,          eng       ,map,map,"2 maps on 1 sheet : both sides, col. ; 53 x 24 cm. and 28 x 45 cm., sheet 56 x 44 cm."
          AM the Adirondack Museum                  Adirondack Museum AM       ,                   cartographic                ,map,"Blue Mountain Lake, N.Y",Adirondack Museum,[1998?] 1998,          eng       ,map,view,"1 view : col. ; 16 x 21 cm., on sheet 22 x 41 cm., folded to 22 x 11 cm."
"          Allegany College of Maryland, a visitor's guide                  Allegany College of Maryland, Cumberland campus map       ",                   cartographic                ,map government publication,Cumberland,Allegany College,1998] 1998,          eng       ,map,map,"1 map : col. ; 19 x 16 cm., on sheet 22 x 36 cm., folded to 22 x 9 cm."
"          Maps of Lancaster County with Lancaster, Pennsylvania          happy to help you find your way around                  Lancaster County       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps Division of Mass Marketing Inc.,c1980 1980,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 47 x 60 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
          The           English Channel       ,                   cartographic                ,map,London,R. Blachford & Co.,[1827] 1827,          eng       ,map,map,1 map ; 89 x 184 cm.
"          Maps of York County and York, Pennsylvania          happy to help you find your way around                  York County       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps Division of Mass Marketing Inc.,c1980 1980,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 57 x 87 cm. and 56 x 87 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of York County with York & surrounding areas, Pennsylvania          happy to help you find your way around                  York County       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps Division of Mass Marketing Inc.,c1981 1981,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 56 x 88 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Bucks County with the boroughs of Quakertown, Perkasie, and Doylestown, Pennsylvania       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1982 1982,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 77 x 55 cm. or smaller, sheet 89 x 59 cm., folded to 10 x 23 cm."
"          Maps of Bucks County with the boroughs of Quakertown, Perkasie, and Doylestown, Pennsylvania       ",                   cartographic                ,map,Cincinnati,Merchant Maps,1983?] 1983,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 77 x 57 cm. or smaller, sheet 89 x 59 cm., folded to 10 x 23 cm."
"          Maps of Bucks County with the boroughs of Quakertown, Perkasie, and Doylestown, Pennsylvania       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1983 1983,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 75 x 55 cm. or smaller, sheet 89 x 59 cm., folded to 10 x 23 cm."
"          Stee          l's new chart of the west, north, and east coasts of Scotland          from the Frith of Clyde to the Frith of Forth, including the Hebrides or Western Islands, and the Orkney Islands                  New chart of the west, north, and east coasts of Scotland       ",                   cartographic                ,map,London,J.W. Norie and Co.,[1834] 1834,          eng       ,map,map,1 map ; 125 x 94 cm.
          A           new chart of the North Sea          constructed on Mercator's projection       ,                   cartographic                ,map,London,J.W. Norie & Co.,[1836] 1836,          eng       ,map,map,1 map ; 90 x 155 cm.
"          [Harta topografica? a Roma?niei la scara? 1:200 000 =          Topographic map of Romania at scale 1:200,000]       ",                   cartographic                ,map government publication,Bucharest?],"Roma?nia, Ministerul Apa?ra?rii Nat?ionale, Direct?ia Topografica? Militara?",[1997?] 1997,          rum                  eng       ,map,map,52 maps : col. ; 46 x 43 cm. or smaller.
"          Maps of Bucks County with the boroughs of Quakertown, Perkasie, and Doylestown, Pennsylvania       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1984 1984,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 87 x 56 cm. or smaller, sheet 89 x 59 cm., folded to 10 x 23 cm."
"          Maps of Chemung County, Elmira, Horseheads, and Big Flats, New York          happy to help you find your way around       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps Division of Mass Marketing Inc.,c1980 1980,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 87 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
          A           chart of the Mediterranean Sea          including the Gulf of Venice and Black Sea       ,                   cartographic                ,map,London,J.W. Norie & Co.,1824?] 1824,          eng       ,map,map,1 map : mounted on cloth backing ; 85 x 188 cm.
          A           new and correct chart of St. George's Channel       ,                   cartographic                ,map,London,J.W. Norie and Co.,[1836] 1836,          eng       ,map,map,1 map ; 78 x 187 cm.
"          Maps of Chemung County, Elmira, Horseheads, and Big Flats, New York          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1982 1982,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 87 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Bucks County with the boroughs of Quakertown, Perkasie, and Doylestown, Pennsylvania       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1985 1985,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 87 x 56 cm. or smaller, sheet 89 x 59 cm., folded to 23 x 10 cm."
"          Maps of Chemung County, Elmira, Horseheads, and Big Flats, New York          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1983 1983,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 87 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Chemung County, Elmira, Horseheads, and Big Flats, New York          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1984 1984,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 87 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Chemung County, Elmira, Horseheads, and Big Flats, New York          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,Mass Marketing Inc.-Merchant Maps Division,c1984 1984,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 87 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Polen 1:1 000 000 mit Ortsregister =          Poland 1:1 000 000 with index = Pologne 1:1 000 000 avec index                  Poland 1:1 000 000 with index                  Poland 1:1,000,000 with index       ",                   cartographic                ,map,Bad Soden/Taunus [West Germany],Ravenstein Verlag,c1984-85 [i.e. 1984] 1984,          ger                  mul       ,map,map,"1 map : col. ; 67 x 93 cm., folded in cover 25 x 12 cm."
"          Maps of Bucks County with the boroughs of Quakertown, Perkasie, and Doylestown, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1988 1988,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 70 x 52 cm. or smaller, sheet 89 x 59 cm., folded to 10 x 23 cm."
"          Amstelredamvm                  Amstelredamum                  Amstelredamvm, nobile Inferioris Germaniæ oppidum       ",                   cartographic                ,map,Netherlands?,s.n.,16--?] 16uu,          lat       ,map,view,1 view ; 33 x 47 cm.
          [Turveikart for Oslo]                  Turveikartet       ,                   cartographic                ,map government publication,Oslo,Park & idrett,[1996?- 1996 uuuu,          nor       ,map,map,"<   > maps : col. ; 96 x 81 cm., on sheets 63 x 83 cm. or smaller, folded to 25 x 14 cm. or smaller."
"          Tourist map Turkey          tourist information, places of interest, historic sites : national map--1:2 million, S.W. Turkey--1:750,000 ... Alanya : English, deutsch, franc?ais                  Turkey tourist map       ",                   cartographic                ,map,"West Byfleet, Surrey, England",ESR Ltd.,[1993?] 1993,          eng                  fre                  ger       ,map,map,"2 maps on 1 sheet : both sides, col. ; 60 x 94 cm. and 60 x 78 cm., sheet 62 x 96 cm., folded in cover 23 x 13 cm."
"          Maps of Chemung County, Elmira, Horseheads, and Big Flats, New York          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1985 1985,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 87 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Bucks County with the boroughs of Quakertown, Perkasie, and Doylestown, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 72 x 51 cm. or smaller, sheet 89 x 59 cm., folded to 10 x 23 cm."
"          Maps of Chemung County, Elmira, Horseheads, and Big Flats, New York          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1987 1987,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 87 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Chemung County, Elmira, Horseheads, and Big Flats, New York          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1987 1987,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 87 cm. and 87 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Chemung County, Elmira, Horseheads, and Big Flats, New York          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1988 1988,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 87 x 50 cm. or smaller, sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Chemung County, Elmira, Horseheads, and Big Flats, New York          happy to help you find your way around       ",                   cartographic                ,map,Cincinnati,"Mass Marketing Inc., Merchant Maps Division",c1988 1988,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 87 x 49 cm. or smaller, sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Cambria County and Johnstown, Pennsylvania          happy to help you find your way around       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps Division of Mass Marketing Inc.,c1980 1980,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 87 x 56 cm. and 56 x 87 cm., sheet 89 x 59 cm., folded to 23 x 10 cm."
"          Maryland, official highway map                  Maryland                  1999-2000 official highway map                  Maryland, 1999-2000 official highway map       ",                   cartographic                ,map government publication,Baltimore,"Md. Dept. of Transportation, State Highway Administration",c1999 1999,          eng       ,map,map,"1 map : col. ; 59 x 105 cm., folded to 21 x 12 cm."
"          1999 borough of Clementon, Camden County, New Jersey                  Nineteen ninety-nine borough of Clementon, Camden County, New Jersey                  Borough of Clementon, Camden County--New Jersey, 1999 community information guide & map       ",                   cartographic                ,map,"Birdsboro, PA Clementon",Community Map Company Borough of Clementon [distributor,1998?] 1998,          eng       ,map,map,"1 map : col. ; 38 x 46 cm., folded to 32 x 25 cm."
"          1999 Gibbsboro Borough, Camden County, New Jersey                  Nineteen ninety-nine Gibbsboro Borough, Camden County, New Jersey                  Borough of Gibbsboro, Camden County, New Jersey, 1999 community information guide       ",                   cartographic                ,map,"Birdsboro, PA Gibbsboro",Community Map Company Borough of Gibbsboro [distributor,1999?] 1999,          eng       ,map,map,"1 map : col. ; 38 x 46 cm., folded to 32 x 25 cm."
